Identifiant,Adresse,Artiste,Atout,Catégorie,Code_Postal,Domaine_thématique,Département,Date_de_saisie,Histoire,Intérêt,Lieu,Nom_officiel,Nom_usage,Personnage_phare,Protection_bâtiment,Protection_espace,Région,Téléphone,Thèmes,URL,Ville,geolocalisation,coord_x,coord_y,merc_x,merc_y
M0410,"Parc de Bécon, 178 Boulevard Saint Denis","Ary Scheffer, René Ménard, Fernand Roybet, Carpeaux.","Situé dans le parc de Bécon dont l’origine remonte au XVIIème siècle, le musée Roybet Fould doit son existence à la peintre Consuelo Fould, marquise de Grasse qui l’a légué à la Ville de Courbevoie en 1927. Cette ancienne propriété qui accueillit des artistes et des écrivains est une construction de style classique, datant de la fin du XIXème siècle agrémentée d’un pavillon scandinave de l’Exposition universelle de 1878 ; il demeure un des très rares exemples d’architecture préfabriquée du XIXème siècle.",Maison d'artiste,92400,Arts décoratifs;Art moderne et contemporain;Beaux-arts;Ethnologie;Histoire;Photographie,Hauts-de-Seine,2019-01-21,"Les collections furent constituées au départ par les propres oeuvres de Consuelo et de George-Achille Fould, auxquelles s'ajoutaient quelques peintures de leur maître Ferdinand Roybet. Par la suite, le musée s'est considérablement enrichi grâce à des dons, des legs et à de judicieuces acquisitions",Pavillon de la Suède et de la Norvège de l'Exposition universelle de 1878,,musée Roybet Fould,,"Le musée présente des oeuvres de la seconde moitié du XIXème siècle. il se consacre pour partie à la valorisation et à la diffusion des oeuvres du peintre Ferdinand Roybet (1840-1920), selon le voeu de l’ancienne propriétaire et donatrice. Les collections beaux-arts sont constituées de peintures (Ary Scheffer, Isidore Pils, Réné Ménard, L. Ch. Canniccioni, Ad. Lalyre...), de céramiques (Th. Deck) et de mais également de mobilier ancien, d’objets d’art ainsi que d’un fonds de documents graphiques. Le musée conserve une importante collection de poupées, jeux et jouets à laquelle est joint un fonds relatif à l’histoire locale et à la Ville de Courbevoie.",,Aux abords d'un monument historique ; Dans un site classé,Ile-de-France,01 71 05 77 92,"Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Autres collections : Fonds ancien d imprimés (cartes postales);Histoire : Histoire locale et régionale",http://www.museeroybetfould.fr,Courbevoie,"48.900998,2.271279",48.900998,2.271279,252837.6217294556,6258079.491093925
M5076,Place Monsenergue,"Joseph Vernet, Pascal de La Rose, Morel-Fatio, Vincent Courdouan, Eugène Dauphin, Emile Mathon, Paul Jazet, François Nardi, Albert Brenet","Conservatoire de l'histoire de l'arsenal et du port, le musée de la Marine présente une très importante collection de modèles de navires, vaisseaux et galères du XVIIe siècle à nos jours, dont deux très grands et exceptionnels modèles d'instruction. Le musée évoque l'histoire de la flotte du Levant, la construction navale traditionnelle, la naissance des cuirassés et l'introduction de la vapeur",,83000,Histoire,Var,2019-01-21,"Créé à la fin du Premier Empire et ouvert au public dès 1814, le musée de la Marine de Toulon est installé depuis 1981 à côté de la tour de l'horloge de l'arsenal",Le musée se situe près d'une zone militaire protégée,Quai de Norfolk,musée National de La Marine,Musée National de La Marine,,Abords d'un Monument Historique,,Provence-Alpes-Côte d'Azur,04 94 02 02 01,"Archéologie nationale : Gallo-romain, Moderne;Art moderne et contemporain;Arts décoratifs : Céramique, Verrerie;Beaux-Arts : Peinture",http://www.musee-marine.fr,Toulon,"43.122018,5.929368",43.122018,5.929368,660054.226485931,5330562.710691841
M5071,129 rue de Grenelle,,Objets d'art et supports pédagogiques. Collection unique au monde par son importance et son homogénéité.,,75007,Histoire;Technique et industrie,Paris,2019-01-21,"Collection de maquettes historiques de villes fortifiées constituée pour des besoins de programmation militaire, entre la fin du XVIIe siècle et la fin du XIXe siècle, classée monument historique en 1927. Fonds documentaire en rapport avec cette collection. Ce musée rattaché à la Direction générale des Patrimoines au Ministère de la Culture a pour mission de conserver, inventorier, étudier, restaurer, enrichir, exposer et diffuser en vue de l'éducation du public les collections qui sont inscrites sur son inventaire.","Le musée occupe actuellement une des quatre ailes de la cour d'honneur de l'hôtel national des Invalides construit sous Louis XIV, par les architectes Gabriel et Aubert de 1728 à 1731.",Hôtel national des Invalides,musée des plans-reliefs,Musée des Plans-Reliefs,Vauban - Louis XIV - Napoléon Ier,,,Ile-de-France,01 45 51 95 05,Architecture et urbanisme;Collections militaires;Histoire : Histoire militaire,http://www.museedesplansreliefs.culture.fr/,Paris,"48.858219,2.312885",48.858219,2.312885,257469.18046340055,6250838.2765951855
M0387,Place Gévelot,,"Maquettes anciennes de bateaux fluviaux, archives iconographiques de l'ancienne Inspection des Ports de Paris, cartes, photographies, dessins, revues spécialisées, objets.",,78700,Beaux-arts;Histoire;Technique et industrie,Yvelines,2019-01-21,Les collections du musée ont été constituées dès 1967.,Château/grande propriété bourgeoise du XIXème siècle,Château du Prieuré,musée de la Batellerie,musée de la batellerie et des voies navigables,,,Dans un site inscrit,Ile-de-France,01 34 90 39 50,"Ethnologie : Métiers et Outils;Histoire : Musée thématique;Sciences et techniques : Navigation et Pêche, Batellerie",http://www.conflans-sainte-honorine.fr/decouvrir-et-sortir/musee-de-la-batellerie-et-des-voies-navigables/,Conflans-Sainte-Honorine,"48.992445,2.095621",48.992445,2.095621,233283.46261569078,6273579.565788685
M0449,rue Jean Mayodon,"Jean Bellegambe, Brueghel de Velours, Dietrich, Mieris, Geldorp, Bassano, Berretini, Reni, Coypel, Desportes, Raoux, Vien, Van Loo, Perrot","Deux pôles d'intérêt majeurs ressortent des collections du musée : l'archéologie et les Beaux-Arts. Pièces archéologiques du Paléolithique moyen à l'Age de Bronze et du Fer ; peintures du XVIe siècle, avec le célèbre triptyque ""La Trinité"" de Jean Bellegambe ou ""La Mer"" et ""La Terre"" de Brueghel de Velours. Peintures des écoles du Nord, italienne et française du XVIIe au XIXe siècles ; collection sur le vieil Alès ainsi que la collection complète d'un maître ferronnier alèsien, André Broussard.",,30100,Archéologie;Arts décoratifs;Beaux-arts,Gard,2019-01-21,,"Petit château de famille noble de Pellerin, construit après 1629 et avant 1737. Petit jardin à la française avec grottes de rocaille. Pigeonnier Louis XIII à cinquante mètres",,musée du Colombier,Musée du Colombier,"Jean Bellegambe, Brueghel de Velours, Dietrich, Mieris, Geldorp, Bassano, Berretini, Reni, Coypel, Desportes, Raoux, Vien, Van Loo, Perrot",,Aux abords d'un monument historique,Occitanie,04 66 86 30 40,"Archéologie nationale : Protohistoire, Gallo-romain, Paléo-chrétien, Médiéval, Moderne;Art religieux;Arts décoratifs : Céramique, Mobilier, Verrerie, Ferronerie;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Collections militaires;Archives papier, Moulages, Numismatique",http://www.ales.fr/sortir-bouger/musees/musee-du-colombier/,Alès,"44.129352,4.080982",44.129352,4.080982,454292.8381765152,5485481.572711897
M1016,13 boulevard de la Préfecture,"Bréauté, Maurice Brianchon, R. P. Couturier, Emile Sabouraud, Henry Coudour, Louis Jeanmot, Jean-Louis Lacuria","Fonds historique du cabinet d'histoire naturelle et de curiosités de Jean-Baptiste d'Allard (1769-1848) : botanique, minéralogie, zoologie, anthropologie. Collection de jeux et jouets dont la marqué Gégé (Moingt.42)",,42600,Archéologie;Arts décoratifs;Art moderne et contemporain;Beaux-arts;Civilisations extra-européennes;Ethnologie;Histoire;Sciences de la nature;Technique et industrie,Loire,2019-01-21,"Fondé en 1848 à partir du cabinet d'histoire naturelle et de curiosités de Jean-Baptiste d'Allard, naturaliste amateur passionné, le musée est l'un des plus anciens musées du département de la Loire. A partir de la fin du 19e siècle, le musée intègre progressivement un fonds beaux-art puis s'oriente dès l'après-guerre vers le thème des poupées. En 1967, une collection de poupées du monde entre au musée à la suite du don de la famille Martel. Le musée d'Allard prend alors partiellement le nom de Musée de la poupée. Radicalement modernisé à partir des années 1970-1980, il retrouve progressivement un équilibre thématique à la fin des années 1990. En 2005, une importante acquisition de jeux et jouets de la marque Gégé permet au musée d'aborder l'histoire de cette célèbre entreprise du bassin montbrisonnais.","Ancien hôtel particulier de Jean-Baptiste d'Allard (1769-1848), créateur du fonds constitutif.",,musée d'Allard,,,,,Auvergne-Rhône-Alpes,04 77 96 39 15,"Art religieux (Bénitiers de chevet);Arts décoratifs : Jouets (poupées et trains);Beaux-Arts : Peinture;Numismatique;Sciences de la nature : Entomologie, Minéralogie, Ornithologie",http://www.ville-montbrison.fr/annuaire/musee-dallard/,Montbrison,"45.608241,4.06195",45.608241,4.06195,452174.20562773757,5717790.29069537
M0438,"4, rue Lemercier","Otto Freundlich, Jean Arp, Janice Biala, Julius Bissier, Francesco Bores, Leo Breuer, Marcelle Cahn, Gaston Chaissac, Serge Charchoune, Roger Chastel, Parvine Curie, Sonia Delaunay, Diego Giacometti, Albert Gleizes, Auguste Herbin Jeanne Kosnick-Kloss, Henri Nouveau, Henri Matisse, Roger Chastel, Claude Grobety, Jeanne Coppel.","Fonds d'atelier d'Otto Freundlich (donation 1968, le plus grand ensemble d'oeuvres de cet artiste) ; Importante collection de dessins : écoles italienne (XVIe-XVIIe : Zuccari, Giordano), flamande et surtout française (XVIIe-XIXe : Bouchardon, Casanova, Houel, Girodet, Gérard, Doré) ; Série de toiles de Jouy ; Histoire locale et art religieux ou populaire (bâtons de confrérie)",,95300,Art moderne et contemporain;Beaux-arts;Histoire,Val-d'Oise,2019-01-21,"Camille Tavet fait faire l'acquisition à la Ville de Pontoise de l'ancien hôtel particulier de la fin du XVème siècle autrefois Grand vicariat de la ville pour y installer un musée qu'il commença d'aménager et auquel il légua ses collections ou collecta des donations (1892-1902). Ce musée, fut notamment restauré en 1948 et 1960. En 1968, il a reçu l'importante Donation Freundlich (Fonds d'atelier d'Otto Freundlich et de Jeanne Kosnick-Kloss) qui a réorienté ses collections vers le XXe siècle et en particulier l'art non figuratif et construit (Art Concret), tandis qu'une annexe fut inaugurée en 1980 : le musée Camille-Pissarro qui fut alors dédié à la peinture de paysage dans la vallée de l'Oise entre 1850 et 1914. Les deux musées demeurent étroitement solidaires tant par leurs collections que pour leur gestion (inventaires, personnels, espaces techniques, réserves et budgets communs).",Hôtel particulier de la fin du XVe siècle (Ancien grand vicariat),,musée Tavet Delacour,Musée Tavet-Delacour,Otto Freundlich (1878-1943),,Aux abords d'un monument historique ; Dans un site patrimonial remarquable,Ile-de-France,01 30 38 02 40,"Art moderne et contemporain (Abstraction géométrique);Arts décoratifs : Céramique;Beaux-Arts : Dessin, Estampe et Affiche, Sculpture (Sculpture religieuse);Autres collections : Ouvrages de bibliophilie",http://www.ville-pontoise.fr,Pontoise,"49.050929,2.099776",49.050929,2.099776,233745.9950999368,6283507.402070657
M1117,51 rue Roger Salengro,,"s Bastard, deux illustres éventaillistes de la région de Méru ; Autres pièces de tabletterie : objets en nacre, essentiellement, mais aussi en os, en ivoire, en écaille, en corne, en bois précieux... Accessoires de mode et de toilette tels que broches, boucles de ceinture, paires de jumelles, vaporisateurs à parfum, poudriers, peignes, brosses, nécessaires de manucure, couverts, étiquettes, coquilles gravées en bas-reliefs, mais aussi articles de dentisterie, de lunetterie, de couture, de table, jeux et jouets (dés, dominos, plaques, jetons et pions de jeux, etc.), divers objets de piété, missels, carnets de bal, coffrets et boîtes de toute sorte ; Séries de magnifiques boutons en matières nobles et chatoyantes. La plupart de ces objets ont été achetés ou récupérés chez d'anciens artisans locaux. Il en va de l'ensemble de la collection de boutons, ainsi que de la grande majorité des objets de tabletterie usuels et de luxe. En ce qui concerne les éventails, même si le musée détient dans ses collections plusieurs exemplaires manufacturés dans la région de Méru, il dispose aussi de nombreux modèles de provenances diverses, notamment des modèles de facture asiatique et plusieurs spécimens publicitaires. En ce qui concerne les machines, certaines sont inscrites à l'Inventaire général du Patrimoine et sont recensées dans la Base Palissy du Ministère de la Culture : Chaudière à vapeur du musée, qui date de 1902 mais dont il ne subsiste que la façade. Elle a été placée dans une fosse, comme dans son usine d'origine ; Machine à vapeur à piston, également datée de 1902, fait l'objet d'une inscription identique. Elle présente l'intérêt majeur d'avoir été conservée en parfait état de marche, d'être entretenue quotidiennement, et surtout d'être mise en fonctionnement systématiquement devant les visiteurs ; 25 autres machines du musée figurent sur cette liste, et sont toutes installées dans les ateliers de fabrication reconstitués du boutonnier et du dominotier. Ce sont notamment des ensembles de 2 machines à graver (tours à graver) dites lignes droites, de 2 machines à meuler, de 2 tonneaux à polir, de 2 tours à mécher, d'une trieuse d'épaisseur, d'un tour à découper à l'eau, d'une machine à reproduire, d'un tour à graver, de plusieurs machines à meuler, percer, raboter, et d'une machine à revêtir par dépôt (ou bac à teinture). On y note enfin la présence de la machine à découper par scie (ou scie à découper l'ivoire), réinstallée à l'identique à l'étage. Elle est encore utilisée aujourd'hui (alimentée par un moteur électrique) et est mise en route régulièrement devant le public ; Très imposante pendule en ébène et nacre flanquée de deux miroirs symétriques, oeuvre de l'artisan méruvien Mr Troisoeufs, autrefois donnée à la Commune de Méru par son créateur. Ce chef d'oeuvre de style Empire a été commencé en 1870, et achevé pour l'exposition artisanale de Méru en 1907. On payait alors 1 Franc pour la visiter sur le stand. Endommagée pendant l' Occupation, elle fut restaurée par le dernier artisan graveur sur nacre, Mr Roblot de Andeville. Cette pièce est tout à fait extraordinaire, et d'une valeur inestimable compte tenu de son histoire et de sa facture locales.",,60110,Arts décoratifs;Ethnologie;Histoire;Technique et industrie,Oise,2019-01-21,"Les collections d'objets conservés au musée de la Nacre et de la Tabletterie ont été rassemblées au fur et à mesure d'une histoire discontinue, en même temps que se réalisait le projet du musée. Les principaux organismes ayant contribué à constituer des collections d'un intérêt significatif pour les mettre à la disposition du musée au moment de sa création étaient les suivants : la mairie et la Maison des Jeunes et de la Culture de Méru, l'Association des «Amis du musée du travail de la nacre», l'Ecomusée des Pays de l'Oise et le District des Sablons. La mairie et la MJC de Méru étaient effectivement au départ elles-mêmes détentrices d'un certain nombre d'objets, inventoriés de façon exhaustive par l'Association AEPTES en 1994. Le fruit de ce travail associatif est une liste complète et détaillée de machines et d'objets, établie en Octobre 1994, et présentée en deux parties intitulées respectivement : «Inventaire Matériel/Objet MJC» (28 fiches/objets en notre possession aujourd'hui) et «Liste et photos des objets présentés dans les vitrines de la MJC de Méru - Complément à l'inventaire des machines et objets entreposés à la MJC et dans l'usine Méruvienne en vue de la réalisation d'un musée de la boutonnerie et de la tabletterie». Ces deux collections ont été regroupées d'emblée parce que, bien qu'appartenant à deux propriétaires distincts, elles avaient été à l'origine stockées dans le même lieu. Elles contenaient : de nombreuses machines de boutonnerie (tours à découper, tours à mécher, tours à percer…) représentatives de l'activité industrielle de 1920 à nos jours, un échantillonnage de produits fabriqués dans la région, néanmoins insuffisant pour présenter la diversité des fabrications locales, un atelier complet de dominotier en fonctionnement (ancien atelier Tartare), une collection de mobilier réalisé par Mr Troisoeufs. L'ensemble de ces objets présentait l'avantage d'être déjà inventorié et d'être dans un état de conservation satisfaisant. Mais il ne constituait pas un fonds suffisant pour créer le futur musée, d'autant qu'il était lacunaire en éléments mobiliers tels qu'établis, meubles de rangement, poulies, courroies de transmission... La mise à disposition de ces collections appartenant à la MJC de Méru fit autrefois l'objet d'une convention de dépôt de longue durée au MNT, et nous sommes actuellement en négociation avec cet organisme (échange sous la forme d'une subvention aux associations…) pour obtenir la pleine propriété de leur dépôt, à savoir 378 pièces. On pourrait penser, après avoir parcouru l'historique de la genèse du MNT, que la majorité des objets constituant la collection du musée proviendrait de l'Association des «Amis du musée du travail de la nacre», puisqu'elle s'était explicitement constituée à dessein. Ses collections d'une grande richesse étaient constituées d'une vaste série d'objets et de machines sur la tabletterie et la boutonnerie, ainsi que par des ateliers de boutonniers et de tabletiers complets (machines, mobilier, outillage, poulies…), et enfin par une très belle collection d'objets précieux de tabletterie et de boutonnerie. A la lecture de l'étude de faisabilité sommaire pour un musée de la nacre produite par l'Ecomusée du Beauvaisis en Juillet 1990, il semble que plusieurs points précis aient toutefois empêché la contribution de cette association au nouvel établissement. En effet, malgré les tentatives répétées des chargés de mission de l'Ecomusée et de la DRAC de Picardie, il ne fut pas possible de disposer d'un inventaire précis, d'une liste ou d'une description des objets et des documents possédés par cette Association. Ses représentants actifs disposaient pourtant de toute évidence d'un matériel important qu'ils ne manquaient pas d'exposer lors de présentations temporaires. Bien souvent, ils emportaient des objets facilement manipulables et de petites dimensions, à l'exclusion du matériel lourd (machines) plus difficile à transporter. Bien que les objets présentés soien t d'une grande qualité, leur statut d'appartenance n'était pas précisé, et il semblait délicat de faire la part entre la propriété de l'Association et la propriété privée des membres ou des sympathisants. Quant au matériel plus lourd, il était la plupart du temps entreposé chez des particuliers, et la consultation de ces objets par les chargés de mission de l'Ecomusée en était rendue impossible. Enfin, le dépôt des objets de l'Association était à l'époque soumis à de nombreuses conditions et exigences de la part de ses membres, comme l'obtention d'un local de stockage en préalable à toute forme d'inventaire précis. L'ensemble de cette situation peu claire, tendant à faire penser que l'Association utilisait une rétention d'informations concernant ses collections de manière à se ménager un certain pouvoir de négociation vis à vis des gestionnaires du musée ultérieur, fit que ses collections ne furent pas mises en dépôt au MNT à sa création. Néanmoins, pour ne pas priver le nouvel établissement de telles richesses, alors qu'elles avaient clairement été prises en compte dès le départ pour constituer les collections du musée, le District des Sablons se porta acquéreur de certains des plus beaux objets de la collection de l'Association (environ 120 pièces). Il s'agissait essentiellement d'objets de tabletterie de luxe en nacre (boucles de ceinture, porteplumes, jumelles, éventails...). Le District des Sablons fit placer à son tour ses acquisitions en dépôt au MNT. L'EPO possédait également quelques objets de collections, notamment des machines et du mobilier de boutonnerie, ainsi que des objets de tabletterie, mais en des quantités peu importantes. Réunies avec les acquisitions effectuées par le District des Sablons, elles permirent quand même de constituer dans un premier temps un ensemble cohérent et significatif de l'activité tabletière. Les pièces rassemblées étaient suffisamment nombreuses pour illustrer les différents espaces du musée, et la redondance de certaines machines permit également d'en conserver quelques-unes en l'état et d'utiliser les autres dans la reconstitution des ateliers",Le musée de la Nacre et de la Tabletterie se situe dans les murs d'une ancienne usine de fabrication de boutons de nacre. Il s'agit de l'usine Dégremont fondée en 1859 et inscrite au titre des Monuments Historiques.,,musée de la Nacre et de la Tabletterie,,,Classé à l’Inventaire Supplémentaire des Monuments Historiques,,Hauts-de-France,03 44 22 61 74,"Art religieux;Arts décoratifs : textiles et tabletterie;Arts du spectacle : jumelles de théâtre;Beaux-arts : Dessin, Peinture (éventails);Civilisations extra-européennes : Asiatiques, Océaniennes;Collections militaires : Armes blanches;Collections spécifiques : Archives papier, Archives sonores, Photographie, Plans;Ethnologie : Costume, Mobilier, Métiers et outils (artisanat, machines), Pratiques religieuses et collectives;Histoire : Musée thématique (ex. Musée des Douanes), Histoire locale et régionale...;Sciences de la nature : Herpétologie (Reptiles), Invertébrés marins (Coraux, crustacés), Malacologie (Mollusques, coquillages), Mammalogie (Mammifères), Ornithologie (Oiseaux);Sciences et techniques : Industrie",http://www.musee-nacre.com,Méru,"49.238327,2.139609",49.238327,2.139609,238180.1843767053,6315397.6783801075
M5083,Quartier Villars,Maquettes et costumes de scène dessinés par Christian Lacroix,"Collections de costumes exceptionnels, des plus grands théâtres ou compagnies de spectacles français, créés par les costumiers les plus représentatifs des arts de la scène et portés par les plus grands interprètes.",,3000,Arts décoratifs,Allier,2019-01-21,"Décision en 1994 du ministère de la culture et de la communication d'implanter à Moulins un « Centre de Réserves », consacré aux costumes de scène provenant de trois institutions nationales. L'Opéra de Paris, la Comédie-Française et la Bibliothèque Nationale de France forment un ensemble de 8500 costumes déposés à l'ouverture du CNCS. Depuis 2006, l'établissement a fait de nombreuses acquisitions (dons pour l'essentiel mais aussi achats) de costumes issus de compagnies de danse, de théâtres, d'opéras, conservés pour leur intérêt et valeur patrimoniale. Les collections sont en très grande majorité des costumes mais aussi des objets de musée (Don de la Fondation Rudolf Noureev : mobilier, tableaux, objets arts décoratifs...), quelques maquettes de costumiers.","Caserne de cavalerie XVIIIème siècle, classée MH.",Quartier Villars,Centre National du Costume de Scène et de la Scénographie,CNCS,"Divers grands artistes de Sarah Bernhardt, Mounet Sully, Jean Marais, Isabelle Adjani, Serge Lifar, Claude Bessy, Rudolf Noureev…","Classé monument historique (ensemble du bâtiment historique, 1984)",,Auvergne-Rhône-Alpes,04 70 20 76 20,"Arts décoratifs : Textiles (costume, tapisserie, dentelle);Arts du spectacle : Danse, Théâtre et Opéra",http://www.cncs.fr,Moulins,"46.560973,3.335798",46.560973,3.335798,371339.3347492204,5870705.811031942
M0526,11 rue de Metz,,"Depuis 1996, le Département de la Moselle mène une politique active d'acquisitions et de dépôts. Les collections comportent aujourd'hui environ 6 000 objets relatifs à la guerre de 1870 et aux années de l'Annexion de la Moselle à l'Empire allemand : uniformes français et allemands, armes, pièces d'équipement, mais aussi souvenirs et documents historiques (manuscrits, archives), photographies, estampes (dont une série d'eaux-fortes d'Auguste Lançon) et des peintures (9 fragments du Panorama de Rezonville peint par Edouard Detaille et Alphonse de Neuville). Ces collections se sont enrichies grâce à plusieurs dépôts, notamment celui du musée militaire de Mars-la-Tour (uniforme du général Decaen, matériel médical) et celui des musées de la Cour d'Or à Metz (médaillons de la Halle du souvenir de Gravelotte, tableaux d'Albert Bettannier)",,57130,Arts décoratifs;Beaux-arts;Histoire,Moselle,2019-01-21,"En 1875, un « Kriegsmuséum » est aménagé à Gravelotte par V. Erpeldinger, de Metz, à l'emplacement de l'actuel musée. En 1908, la propriété est transférée à l'Association allemande pour l'entretien de tombes. En 1918, le musée est placé sous séquestre et remis à la commune de Gravelotte qui en devint ainsi propriétaire. De septembre à novembre 1944, le village subit de nombreux dommages dus aux bombardements et le musée fut pillé. En 1958, s'ouvrit un nouveau musée, la commune restant propriétaire des collections. Mais la commune ne disposant pas de moyens suffisants, le musée se dégrade lentement. En 1992, le Parc Naturel Régional de Lorraine crée un syndicat intercommunal afin de permettre le recrutement d'un conservateur responsable des trois musées contrôlés situés sur le territoire du Parc : le musée du Sel de Marsal, le musée d'Art et d'Histoire de Vic-sur-Seille et le musée militaire de Gravelotte. En 1996, le Département de la Moselle crée une conservation départementale des musées dont l'un des objectifs est de reprendre la gestion de ces trois musées. Le 31 mars 2000, la commune de Gravelotte transfère la gestion des collections communales au Département et décide de la fermeture complète et définitive du musée communal. La conservation départementale des musées élabore le projet scientifique et culturel validé en 2003, puis la programmation des collections en 2007. L'ancien musée fermé se révélant inadapté au nouveau projet, la construction d'un nouveau bâtiment est décidée. Un concours de maîtrise d'oeuvre est réalisé en 2008 et aboutit au choix d'un architecte, Bruno Mader, et d'un muséographe, Pierre Verger, sur un projet architectural moderne","Réalisé sur les plans de l'architecte Bruno Madère, le musée de Gravelotte est d'archictecture brutaliste. Entouré d'un bardage en laiton, le bâtiment se réfère à l'armement et, par sa forme, aux champs de bataille de 1870.",,musée de la guerre de 1870,Musée départemental de la guerre de 1870 et de l'annexion,,,Aux abords d'un monument historique ; Dans un parc naturel,Grand Est,03 87 33 69 40,"Beaux-arts : dessin, estampe et affiche, peinture, sculpture;collections militaires : armes, artillerie, uniformes;archives papier;fonds anciens d'imprimés;photographie;manuscrits, incunables;Histoire : période historique : Second Empire et Annexion (1870-1918);Histoire militaire",http://www.moselle.fr,Gravelotte,"49.113679,6.029871",49.113679,6.029871,671242.1692691273,6294172.400785119
