Numéro_de_l'objet,Domaine,Dénomination,Appellation,Titre,Auteur,Précisions_sur_l'auteur,Lieu_de_création,Période_de_création,Millésime,Période_de_l'original_copié,Epoque,Utilisation,Période_d'utilisation,Millésime_d'utilisation,Dimensions,Matériaux-techniques,Géographie_historique,Découverte,Sujet,Source_de_la_représentation,Onomastique,Statut_juridique,Date_d'acquisition,Date_de_dépôt,Ancien_dépôt,ID-notice,Lieu_de_conservation,Identifiant_Museofile,Date_d'import,Date_de_mise_à_jour,Label_Musée_de_France,Ecole,Dépôt,ville,geolocalisation_ville
03 2 3,dessin,,,VUE PRISE A CHARBONNIERE ; BOIS DE L'ETOILE,ALLEMAND Hector,"Lyon, 1809 ; Lyon, 1886",,4e quart 19e siècle,1880,,,,,,17 H ; 24.2 L,plume;lavis rouge;papier (blanc),,,paysage (feuillu),,,propriété de la commune ; legs ; Montpellier ; musée Fabre,1903,,,000DE021526,Montpellier;musée Fabre,M0476,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Montpellier,"43.611024,3.875521"
876 3 105,dessin,,,LA CHASSE AUX LOUPS ET AUX RENARDS,DELACROIX Eugène ; RUBENS Peter Paul (d'après),"Delacroix : Charenton-Saint-Maurice, 1798 ; Paris, 1863#Rubens : Siegen (Westphalie), 1577 ; Anvers, 1640",,2e quart 19e siècle;3e quart 19e siècle,1863 avant,1ère moitié 17e siècle,,,,,18.2 H ; 27.9 L,crayon noir;aquarelle;papier (blanc),,,"représentation animalière (chasse, loup, renard)",,,propriété de la commune ; legs ; Montpellier ; musée Fabre,1876,,,000DE021580,Montpellier;musée Fabre,M0476,,1995-06-19,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France ; Flandres (d'après),,Montpellier,"43.611024,3.875521"
D 5808_5809 ; D 5810,dessin,double face,,"ABSIDE DE L'EGLISE SAINT JACQUES ET SAINT CHRISTOPHE A HOUDAN, AU VERSO CHAPITEAU ET CORNICHE",RODIN Auguste,"Paris, 1840 ; Meudon, 1917",,4e quart 19e siècle,1890 entre ; 1897 et ; ?,,,,,,13 H ; 20.3 L,mine de plomb;papier filigrane (beige),,,"vue d'architecture (Houdan, église, intérieur)#vue d'architecture (chapiteau, corniche)",essai : sur les arts ; Rodin Auguste : Les cathédrales de France,,propriété de l'Etat ; donation ; musée Rodin,1916,,,000DE018069,Paris;musée Rodin,M5044,,2009-02-16,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Paris,"48.8589,2.3469"
D 5886,dessin,,,MOULURES A AZAY ?,RODIN Auguste,"Paris, 1840 ; Meudon, 1917",,4e quart 19e siècle,1890 vers ; ?,,,,,,31 H ; 20 L,plume;encre brune;gouache;papier (beige),,,"vue d'architecture (Azay-le-Rideau, ?, moulure)",essai : sur les arts ; Rodin Auguste : Les cathédrales de France,,propriété de l'Etat ; donation ; musée Rodin,1916,,,000DE018125,Paris;musée Rodin,M5044,,2009-02-16,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Paris,"48.8589,2.3469"
D 5930,dessin,,,DEUX PERSONNAGES LUTTANT DOS A DOS,RODIN Auguste,"Paris, 1840 ; Meudon, 1917",,1er quart 19e siècle,1883 ; ?,,,,,,19.2 H ; 15 L,mine de plomb;papier quadrillé (beige),,,"groupe de figures (personnage, lutte)",,,propriété de l'Etat ; donation ; musée Rodin,1916,,,000DE018160,Paris;musée Rodin,M5044,,2009-02-16,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Paris,"48.8589,2.3469"
INV 49.151.1,dessin,,,SAINT PIERRE DANS SA PRISON,HUGUET Jean François,"Rennes, 1679 ; Rennes, 1749",,2e quart 18e siècle,1746,,,,,,29.5 H ; 37.5 L,mine de plomb;lavis gris;gouache blanche;papier (blanc),,,"scène biblique (saint Pierre, délivrance, prison, ange : dans les airs, nuée, soldat : sommeil, lance, bouclier, chaîne, effet de lumière)",Actes des apôtres : 12,,propriété de la commune ; mode d'acquisition inconnu ; Rennes ; musée des Beaux-Arts,1949 avant,,,000DE018693,Rennes;musée des beaux-arts,M0211,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Rennes,"48.113844,-1.681632"
INV 65.1.2.1,dessin,double face,,PORTRAIT D'ENFANT,LAURENT Ernest,"Gentilly, 1859 ; Bièvres, 1929",,4e quart 19e siècle,,,,,,,38 H ; 26 L,crayon noir;pastel;papier (brun),,,"portrait (Laurent Pierre, garçon, en pied, de profil)",,,propriété de la commune ; don ; Rennes ; musée des Beaux-Arts,1965,,,000DE018766,Rennes;musée des beaux-arts,M0211,,1999-06-22,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Rennes,"48.113844,-1.681632"
R 86 1,dessin,,,CHATEAU EN CAMPAGNE,MESSAGER Jean-Baptiste,"Laval, 1811 ; Laval, 1885",,2e quart 19e siècle;3e quart 19e siècle,1840 entre ; 1860 et,,,,,,43.2 H ; 59.1 L ; 31.5 H1 ; 46.8 L1,aquarelle;papier (beige);papier (collé en plein),,,"vue d'architecture (château, pont, rivière, arbre, pré, femme, chien, promenade)",,,propriété de la commune ; donation ; Laval ; musée du Vieux Château,1910,,,000DE018949,Laval;musée du vieux château,M0766,,1990-05-02,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Laval,"48.072653,-0.770364"
2879,dessin,,,LAVAL : RUE HAUTE DES TUYAUX,MESSAGER Jean-Baptiste,"Laval, 1811 ; Laval, 1885",,2e quart 19e siècle;3e quart 19e siècle,1840 entre ; 1860 et,,,,,,21.1 H ; 31.1 L,mine de plomb;papier (beige),,,"vue d'architecture (cadre urbain, Laval, rue, maison, tour, porte, mur, arbre, jardin)",,,propriété de la commune ; donation ; Laval ; musée du Vieux Château,1910,,,000DE018977,Laval;musée du vieux château,M0766,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Laval,"48.072653,-0.770364"
2927,dessin,,,LA PHLIPOTIERE,MESSAGER Jean-Baptiste,"Laval, 1811 ; Laval, 1885",,2e quart 19e siècle;3e quart 19e siècle,1840 entre ; 1860 et,,,,,,18 H ; 24.6 L,graphite;papier (beige),,,"vue d'architecture (maison, tour, pré, berge, rivière, arbre, herbe, Mayenne d)",,,propriété de la commune ; donation ; Laval ; musée du Vieux Château,1910,,,000DE018990,Laval;musée du vieux château,M0766,,1990-05-02,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Laval,"48.072653,-0.770364"
3104,dessin,,,MAISONS AU PIED DU CHATEAU,MESSAGER Jean-Baptiste,"Laval, 1811 ; Laval, 1885",,3e quart 19e siècle,1840 entre ; 1860 et,,,,,,27.8 H ; 45.3 L,mine de plomb;papier (beige),,,"vue d'architecture (cadre urbain, Laval, quai, maison, escalier, arbre, château, pont, Mayenne riv, personnage)",,,propriété de la commune ; donation ; Laval ; musée du Vieux Château,1910,,,000DE019045,Laval;musée du vieux château,M0766,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Laval,"48.072653,-0.770364"
3141,dessin,,,RUINES D'UNE BRASSERIE INCENDIEE,MESSAGER Jean-Baptiste,"Laval, 1811 ; Laval, 1885",,3e quart 19e siècle,1840 entre ; 1860 et,,,,,,23.4 H ; 31 L,mine de plomb;plume;encre noire;gouache blanche;papier (beige),,,"vue d'architecture (ruines, maison, escalier, berge, mur, herbe, Mayenne riv)",,,propriété de la commune ; donation ; Laval ; musée du Vieux Château,1910,,,000DE019080,Laval;musée du vieux château,M0766,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Laval,"48.072653,-0.770364"
3159,dessin,,,RUE HAUTE DES TUYAUX,MESSAGER Jean-Baptiste,"Laval, 1811 ; Laval, 1885",,3e quart 19e siècle,1853,,,,,,24 H ; 31.6 L,lavis noir;lavis brun;mine de plomb;gouache blanche;papier (beige),,,"vue d'architecture (cadre urbain, Laval, rue, maison, lanterne, arbre, mur) ; scène (taille de la pierre, construction, mur, homme, marteau, chapeau)",,,propriété de la commune ; donation ; Laval ; musée du Vieux Château,1910,,,000DE019098,Laval;musée du vieux château,M0766,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Laval,"48.072653,-0.770364"
46. 100. 1 A,photographie;ethnologie,carte postale,,sujet militaire (titre factice),Rabal Francois,"Agen, ?",France (lieu d'exécution),1er quart 20e siècle,1915,,,correspondance,,,"H. 9. 4, l. 14. 3","procédé photomécanique;aquarelle, plume, encre brune, encre noire, mine de plomb;papier",,,"figure (homme, en pied, de profil, infanterie, banderole, signe alphabétique, Première Guerre mondiale)",,,propriété de l'Etat ; don ; musée national des Arts et Traditions Populaires,1946,,,5002CD00912,Marseille;musée des Civilisations de l'Europe et de la Méditerranée,M5002,2001-07-26,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Marseille,"43.2804,5.3806"
3237,dessin,,,ANCIENNE EGLISE DE LOIRON,MESSAGER Jean-Baptiste,"Laval, 1811 ; Laval, 1885",,3e quart 19e siècle,1852,,,,,,27 H ; 40.3 L,mine de plomb;gouache blanche;papier (beige),,,"vue d'architecture (cadre urbain, village, Loiron, église, maison, place, charrette, homme, femme, enfant, chien, arbre, herbe)",,,propriété de la commune ; donation ; Laval ; musée du Vieux Château,1910,,,000DE019171,Laval;musée du vieux château,M0766,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Laval,"48.072653,-0.770364"
